Year,Fatalities,Resident_Population_Thousands,Fatality_Rate_per_100K_Population,Licensed_Drivers_Thousands,Fatality_Rate_per_100K_Licensed_Drivers,Registered_Motor_Vehicles_Thousands,Fatality_Rate_per_100K_Registered_Vehicles,Vehicle_Miles_Traveled_Billions,Fatality_Rate_per_100_Million_VMT
1966.00,50894.00,196560.00,25.89,100998.00,50.39,95703.00,53.18,926.00,5.50
1967.00,50724.00,198712.00,25.53,103172.00,49.16,98859.00,51.31,964.00,5.26
1968.00,52725.00,200706.00,26.27,105410.00,50.02,102987.00,51.20,1016.00,5.19
1969.00,53543.00,202677.00,26.42,108306.00,49.44,107412.00,49.85,1062.00,5.04
1970.00,52627.00,205052.00,25.67,111543.00,47.18,111242.00,47.31,1110.00,4.74
1971.00,52542.00,207661.00,25.30,114426.00,45.92,116330.00,45.17,1179.00,4.46
1972.00,54589.00,209896.00,26.01,118414.00,46.10,122557.00,44.54,1260.00,4.33
1973.00,54052.00,211909.00,25.51,121546.00,44.47,130025.00,41.57,1313.00,4.12
1974.00,45196.00,213854.00,21.13,125427.00,36.03,134900.00,33.50,1281.00,3.53
1975.00,44525.00,215973.00,20.62,129791.00,34.31,126153.00,35.29,1328.00,3.35
1976.00,45523.00,218035.00,20.88,134036.00,33.96,130793.00,34.81,1402.00,3.25
1977.00,47878.00,220239.00,21.74,138121.00,34.66,134514.00,35.59,1467.00,3.26
1978.00,50331.00,222585.00,22.61,140844.00,35.74,140374.00,35.85,1545.00,3.26
1979.00,51093.00,225055.00,22.70,143284.00,35.66,144317.00,35.40,1529.00,3.34
1980.00,51091.00,227225.00,22.48,145295.00,35.16,146845.00,34.79,1527.00,3.35
1981.00,49301.00,229466.00,21.49,147075.00,33.52,149330.00,33.01,1555.00,3.17
1982.00,43945.00,231664.00,18.97,150234.00,29.25,151148.00,29.07,1595.00,2.76
1983.00,42589.00,233792.00,18.22,154389.00,27.59,153830.00,27.69,1653.00,2.58
1984.00,44257.00,235825.00,18.77,155424.00,28.48,158900.00,27.85,1720.00,2.57
1985.00,43825.00,237924.00,18.42,156868.00,27.94,166047.00,26.39,1775.00,2.47
1986.00,46087.00,240133.00,19.19,159486.00,28.90,168545.00,27.34,1835.00,2.51
1987.00,46390.00,242289.00,19.15,161816.00,28.67,172750.00,26.85,1921.00,2.41
1988.00,47087.00,244499.00,19.26,162854.00,28.91,177455.00,26.53,2026.00,2.32
1989.00,45582.00,246819.00,18.47,165554.00,27.53,181165.00,25.16,2096.00,2.17
1990.00,44599.00,249464.00,17.88,167015.00,26.70,184275.00,24.20,2144.00,2.08
1991.00,41508.00,252153.00,16.46,168995.00,24.56,186370.00,22.27,2172.00,1.91
1992.00,39250.00,255030.00,15.39,173125.00,22.67,184938.00,21.22,2247.00,1.75
1993.00,40150.00,257783.00,15.58,173149.00,23.19,188350.00,21.32,2296.00,1.75
1994.00,40716.00,260327.00,15.64,175403.00,23.21,192497.00,21.15,2358.00,1.73
1995.00,41817.00,262803.00,15.91,176628.00,23.68,197065.00,21.22,2423.00,1.73
1996.00,42065.00,265229.00,15.86,179539.00,23.43,201631.00,20.86,2484.00,1.69
1997.00,42013.00,267784.00,15.69,182709.00,22.99,203568.00,20.64,2552.00,1.65
1998.00,41501.00,270248.00,15.36,184861.00,22.45,208076.00,19.95,2628.00,1.58
1999.00,41717.00,272691.00,15.30,187170.00,22.29,212685.00,19.61,2690.00,1.55
2000.00,41945.00,282162.00,14.87,190625.00,22.00,217028.00,19.33,2747.00,1.53
2001.00,42196.00,284969.00,14.81,191276.00,22.06,221230.00,19.07,2796.00,1.51
2002.00,43005.00,287625.00,14.95,194602.00,22.10,225685.00,19.06,2856.00,1.51
2003.00,42884.00,290108.00,14.78,196166.00,21.86,230633.00,18.59,2890.00,1.48
2004.00,42836.00,292805.00,14.63,198889.00,21.54,237949.00,18.00,2965.00,1.44
2005.00,43510.00,295517.00,14.72,200549.00,21.70,245628.00,17.71,2989.00,1.46
2006.00,42708.00,298380.00,14.31,202810.00,21.06,251415.00,16.99,3014.00,1.42
2007.00,41259.00,301231.00,13.70,205742.00,20.05,257472.00,16.02,3031.00,1.36
2008.00,37423.00,304094.00,12.31,208321.00,17.96,259360.00,14.43,2977.00,1.26
2009.00,33883.00,306772.00,11.05,209618.00,16.16,258958.00,13.08,2957.00,1.15
2010.00,32999.00,309348.00,10.67,210115.00,15.71,257312.00,12.82,2967.00,1.11
2011.00,32479.00,311663.00,10.42,211875.00,15.33,265043.00,12.25,2950.00,1.10
2012.00,33782.00,313998.00,10.76,211815.00,15.95,265647.00,12.72,2969.00,1.14
2013.00,32893.00,316205.00,10.40,212160.00,15.50,269294.00,12.21,2988.00,1.10
2014.00,32744.00,318563.00,10.28,214092.00,15.29,274805.00,11.92,3026.00,1.08
2015.00,35485.00,320897.00,11.06,218084.00,16.27,281312.00,12.61,3095.00,1.15
2016.00,37461.00,323128.00,11.59,221712.00,16.90,288034.00,13.01,3174.00,1.18